lines,jobs,steps,matrix,services,container,workflow_call,reusable_local_action,permissions,secrets_refs,env_refs,github_token_refs,concurrency,needs,if_conditions,caches,deployments,cron_schedule,workflow_dispatch,top_level_env,project,fold,cosine,bleu
66,1,1,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,1,nkonev_blog,Set_90_10_V_08,0.03,0.03
58,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,WISVCH_events,Set_90_10_V_02,0.05,0.03
21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,komoot_photon,Set_90_10_V_09,0.23,0.07
34,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,jeremylong_DependencyCheck,Set_90_10_V_07,0.24,0.03
44,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,JodaOrg_joda-time,Set_90_10_V_10,0.28,0.33
23,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,wte4j_wte4j,Set_90_10_V_04,0.33,0.58
130,6,5,0,0,0,0,0,0,1,0,0,0,0,8,4,0,0,0,0,vert-x3_vertx-web,Set_90_10_V_05,0.33,0.36
54,2,2,0,0,0,0,0,0,2,0,1,0,1,3,1,1,0,0,1,constellation-app_constellation,Set_90_10_V_10,0.34,0.42
65,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,OpenLiberty_ci.maven,Set_90_10_V_10,0.36,0.62
55,5,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,vert-x3_vertx-bridge-common,Set_90_10_V_10,0.36,0.34
35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,otto-de_synapse,Set_90_10_V_02,0.42,0.17
69,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,bootique_bootique-logback,Set_90_10_V_02,0.44,0.13
73,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,renyuneyun_Easer,Set_90_10_V_06,0.44,0.34
24,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,knowm_Yank,Set_90_10_V_08,0.44,0.65
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yuxuanchiadm_SkyCraftUpdater,Set_90_10_V_01,0.47,0.19
35,1,1,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,1,societe-generale_arch-unit-build-plugin-core,Set_90_10_V_08,0.51,0.52
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cdk_cdk,Set_90_10_V_10,0.51,0.23
58,2,2,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,1,princesslana_smalld,Set_90_10_V_04,0.52,0.51
64,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,PojavLauncherTeam_PojavLauncher,Set_90_10_V_09,0.52,0.64
