feature,low_cosine_mean,high_cosine_mean,delta
lines,45.1,31.133,13.967
if_conditions,1.433,0.167,1.267
secrets_refs,0.7,0.033,0.667
steps,1.6,1.067,0.533
matrix,0.233,0.1,0.133
github_token_refs,0.133,0.033,0.1
deployments,0.133,0.033,0.1
needs,0.133,0.067,0.067
caches,0.5,0.433,0.067
jobs,2.1,2.067,0.033
services,0.033,0.033,0.0
container,0,0,0
workflow_call,0,0,0
reusable_local_action,0,0,0
permissions,0,0,0
env_refs,0,0,0
concurrency,0,0,0
cron_schedule,0,0,0
workflow_dispatch,0,0,0
top_level_env,0.2,0.2,0.0
