project,migration,mode,input_tokens,output_tokens,total_tokens,cost_usd
adobe_experience-platform-streaming-connect,travis_to_gha,zero-shot,518,208,726,0.00337
adobe_experience-platform-streaming-connect,travis_to_gha,few-shot,518,167,685,0.00297
agateau_pixelwheels,travis_to_gha,zero-shot,498,113,611,0.00237
agateau_pixelwheels,travis_to_gha,few-shot,498,92,590,0.00217
albertus82_cyclesmod,travis_to_gha,zero-shot,682,407,1089,0.00578
albertus82_cyclesmod,travis_to_gha,few-shot,682,384,1066,0.00554
alexvasilkov_GestureViews,travis_to_gha,zero-shot,689,519,1208,0.00691
alexvasilkov_GestureViews,travis_to_gha,few-shot,689,655,1344,0.00827
anand1st_sshd-shell-spring-boot,travis_to_gha,zero-shot,506,143,649,0.0027
anand1st_sshd-shell-spring-boot,travis_to_gha,few-shot,506,121,627,0.00247
anastaciocintra_escpos-coffee,travis_to_gha,zero-shot,621,345,966,0.005
anastaciocintra_escpos-coffee,travis_to_gha,few-shot,621,296,917,0.00451
apache_dubbo-spi-extensions,travis_to_gha,zero-shot,617,358,975,0.00512
apache_dubbo-spi-extensions,travis_to_gha,few-shot,617,310,927,0.00464
apache_maven-enforcer,travis_to_gha,zero-shot,528,193,721,0.00325
apache_maven-enforcer,travis_to_gha,few-shot,528,193,721,0.00325
AtomGraph_Processor,travis_to_gha,zero-shot,882,455,1337,0.00676
AtomGraph_Processor,travis_to_gha,few-shot,882,446,1328,0.00667
AuScope_NVCLAnalyticalServices,travis_to_gha,zero-shot,554,326,880,0.00464
AuScope_NVCLAnalyticalServices,travis_to_gha,few-shot,554,259,813,0.00398
AxonIQ_axonserver-connector-java,travis_to_gha,zero-shot,542,251,793,0.00386
AxonIQ_axonserver-connector-java,travis_to_gha,few-shot,542,232,774,0.00367
azarnovdaniil_java-net-course,travis_to_gha,zero-shot,488,122,610,0.00244
azarnovdaniil_java-net-course,travis_to_gha,few-shot,488,109,597,0.00231
ballerina-platform_module-ballerina-docker,travis_to_gha,zero-shot,790,411,1201,0.00609
ballerina-platform_module-ballerina-docker,travis_to_gha,few-shot,790,442,1232,0.0064
billthefarmer_currency,travis_to_gha,zero-shot,514,236,750,0.00365
billthefarmer_currency,travis_to_gha,few-shot,514,180,694,0.00309
billthefarmer_editor,travis_to_gha,zero-shot,519,236,755,0.00366
billthefarmer_editor,travis_to_gha,few-shot,519,181,700,0.00311
BombusMod_BombusMod,travis_to_gha,zero-shot,591,282,873,0.0043
BombusMod_BombusMod,travis_to_gha,few-shot,591,237,828,0.00385
bootique_bootique-logback,travis_to_gha,zero-shot,714,294,1008,0.00473
bootique_bootique-logback,travis_to_gha,few-shot,714,324,1038,0.00502
btraceio_btrace,travis_to_gha,zero-shot,846,574,1420,0.00785
btraceio_btrace,travis_to_gha,few-shot,846,605,1451,0.00816
cdk_cdk,travis_to_gha,zero-shot,497,217,714,0.00341
cdk_cdk,travis_to_gha,few-shot,497,158,655,0.00282
CodelyTV_java-basic-skeleton,travis_to_gha,zero-shot,610,362,972,0.00515
CodelyTV_java-basic-skeleton,travis_to_gha,few-shot,610,304,914,0.00456
ConsensusJ_consensusj,travis_to_gha,zero-shot,619,328,947,0.00483
ConsensusJ_consensusj,travis_to_gha,few-shot,619,298,917,0.00453
constellation-app_constellation,travis_to_gha,zero-shot,786,578,1364,0.00775
constellation-app_constellation,travis_to_gha,few-shot,786,513,1299,0.0071
Coolerfall_Android-HttpDownloadManager,travis_to_gha,zero-shot,577,271,848,0.00415
Coolerfall_Android-HttpDownloadManager,travis_to_gha,few-shot,577,301,878,0.00445
cryptomator_dokany-nio-adapter,travis_to_gha,zero-shot,871,651,1522,0.00869
cryptomator_dokany-nio-adapter,travis_to_gha,few-shot,871,635,1506,0.00853
CST-Group_cst,travis_to_gha,zero-shot,682,334,1016,0.00505
CST-Group_cst,travis_to_gha,few-shot,682,308,990,0.00479
devaneios-ifsp_turma-de-elite-backend,travis_to_gha,zero-shot,717,483,1200,0.00662
devaneios-ifsp_turma-de-elite-backend,travis_to_gha,few-shot,717,513,1230,0.00692
dhatim_safesql,travis_to_gha,zero-shot,663,407,1070,0.00573
dhatim_safesql,travis_to_gha,few-shot,663,426,1089,0.00592
dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,zero-shot,845,558,1403,0.00769
dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,few-shot,845,526,1371,0.00737
dogtagpki_jss,travis_to_gha,zero-shot,654,307,961,0.0047
dogtagpki_jss,travis_to_gha,few-shot,654,286,940,0.00449
eclipse_lemminx,travis_to_gha,zero-shot,596,280,876,0.00429
eclipse_lemminx,travis_to_gha,few-shot,596,225,821,0.00374
elixir-cloud-aai_tesk-api,travis_to_gha,zero-shot,520,247,767,0.00377
elixir-cloud-aai_tesk-api,travis_to_gha,few-shot,520,184,704,0.00314
encircled_Joiner,travis_to_gha,zero-shot,529,162,691,0.00294
encircled_Joiner,travis_to_gha,few-shot,529,143,672,0.00275
FasterXML_jackson-jr,travis_to_gha,zero-shot,510,141,651,0.00269
FasterXML_jackson-jr,travis_to_gha,few-shot,510,144,654,0.00272
feedzai_feedzai-openml,travis_to_gha,zero-shot,596,321,917,0.0047
feedzai_feedzai-openml,travis_to_gha,few-shot,596,255,851,0.00404
fiji_Cell_Counter,travis_to_gha,zero-shot,532,163,695,0.00296
fiji_Cell_Counter,travis_to_gha,few-shot,532,173,705,0.00306
fiji_cookbook,travis_to_gha,zero-shot,532,195,727,0.00328
fiji_cookbook,travis_to_gha,few-shot,532,173,705,0.00306
fiji_KymographBuilder,travis_to_gha,zero-shot,532,162,694,0.00295
fiji_KymographBuilder,travis_to_gha,few-shot,532,173,705,0.00306
fiji_pQCT,travis_to_gha,zero-shot,525,222,747,0.00353
fiji_pQCT,travis_to_gha,few-shot,525,200,725,0.00331
fiji_SPIM_Registration,travis_to_gha,zero-shot,562,219,781,0.0036
fiji_SPIM_Registration,travis_to_gha,few-shot,562,276,838,0.00417
fiji_VIB-lib,travis_to_gha,zero-shot,532,174,706,0.00307
fiji_VIB-lib,travis_to_gha,few-shot,532,173,705,0.00306
future-architect_uroborosql,travis_to_gha,zero-shot,595,314,909,0.00463
future-architect_uroborosql,travis_to_gha,few-shot,595,280,875,0.00429
gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,zero-shot,562,212,774,0.00352
gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,few-shot,562,201,763,0.00342
Gepardec_Hogarama,travis_to_gha,zero-shot,508,159,667,0.00286
Gepardec_Hogarama,travis_to_gha,few-shot,508,127,635,0.00254
gessnerfl_rabbitmq-queue-management,travis_to_gha,zero-shot,514,214,728,0.00343
gessnerfl_rabbitmq-queue-management,travis_to_gha,few-shot,514,199,713,0.00328
gotify_android,travis_to_gha,zero-shot,898,671,1569,0.00896
gotify_android,travis_to_gha,few-shot,898,752,1650,0.00976
GrowthcraftCE_Growthcraft-1.12,travis_to_gha,zero-shot,698,430,1128,0.00605
GrowthcraftCE_Growthcraft-1.12,travis_to_gha,few-shot,698,405,1103,0.00579
Hakky54_mutual-tls-ssl,travis_to_gha,zero-shot,636,748,1384,0.00907
Hakky54_mutual-tls-ssl,travis_to_gha,few-shot,636,663,1299,0.00822
hmcts_ccpay-payment-app,travis_to_gha,zero-shot,585,284,869,0.0043
hmcts_ccpay-payment-app,travis_to_gha,few-shot,585,283,868,0.00429
ibissource_iaf,travis_to_gha,zero-shot,617,356,973,0.0051
ibissource_iaf,travis_to_gha,few-shot,617,302,919,0.00456
ical4j_ical4j-connector,travis_to_gha,zero-shot,705,559,1264,0.00735
ical4j_ical4j-connector,travis_to_gha,few-shot,705,364,1069,0.0054
igniterealtime_openfire-xmldebugger-plugin,travis_to_gha,zero-shot,604,250,854,0.00401
igniterealtime_openfire-xmldebugger-plugin,travis_to_gha,few-shot,604,241,845,0.00392
imglib_imglib2,travis_to_gha,zero-shot,525,222,747,0.00353
imglib_imglib2,travis_to_gha,few-shot,525,200,725,0.00331
imglib_imglib2-tutorials,travis_to_gha,zero-shot,562,237,799,0.00377
imglib_imglib2-tutorials,travis_to_gha,few-shot,562,276,838,0.00417
inferno-framework_fhir-validator-wrapper,travis_to_gha,zero-shot,591,269,860,0.00417
inferno-framework_fhir-validator-wrapper,travis_to_gha,few-shot,591,294,885,0.00442
io7m_jcamera,travis_to_gha,zero-shot,542,195,737,0.0033
io7m_jcamera,travis_to_gha,few-shot,542,246,788,0.00382
io7m_jmurmur,travis_to_gha,zero-shot,549,208,757,0.00345
io7m_jmurmur,travis_to_gha,few-shot,549,181,730,0.00318
io7m_jproperties,travis_to_gha,zero-shot,548,196,744,0.00333
io7m_jproperties,travis_to_gha,few-shot,548,177,725,0.00314
io7m_jsx,travis_to_gha,zero-shot,549,208,757,0.00345
io7m_jsx,travis_to_gha,few-shot,549,161,710,0.00298
ipregistry_ipregistry-java,travis_to_gha,zero-shot,574,321,895,0.00464
ipregistry_ipregistry-java,travis_to_gha,few-shot,574,254,828,0.00397
jakubplichta_git-changelog-maven-plugin,travis_to_gha,zero-shot,513,143,656,0.00271
jakubplichta_git-changelog-maven-plugin,travis_to_gha,few-shot,513,116,629,0.00244
jbee_silk,travis_to_gha,zero-shot,489,145,634,0.00267
jbee_silk,travis_to_gha,few-shot,489,115,604,0.00237
jboss_tyr,travis_to_gha,zero-shot,486,122,608,0.00243
jboss_tyr,travis_to_gha,few-shot,486,110,596,0.00232
jenkinsci_jira-plugin,travis_to_gha,zero-shot,654,340,994,0.00504
jenkinsci_jira-plugin,travis_to_gha,few-shot,654,313,967,0.00477
jeremylong_DependencyCheck,travis_to_gha,zero-shot,632,328,960,0.00486
jeremylong_DependencyCheck,travis_to_gha,few-shot,632,379,1011,0.00537
JetBrains_jediterm,travis_to_gha,zero-shot,490,121,611,0.00243
JetBrains_jediterm,travis_to_gha,few-shot,490,109,599,0.00232
jnidzwetzki_bboxdb,travis_to_gha,zero-shot,784,474,1258,0.0067
jnidzwetzki_bboxdb,travis_to_gha,few-shot,784,453,1237,0.00649
JodaOrg_joda-time,travis_to_gha,zero-shot,667,333,1000,0.005
JodaOrg_joda-time,travis_to_gha,few-shot,667,368,1035,0.00535
junit-team_junit5,travis_to_gha,zero-shot,859,690,1549,0.00905
junit-team_junit5,travis_to_gha,few-shot,859,893,1752,0.01108
jwtk_jjwt,travis_to_gha,zero-shot,998,560,1558,0.00809
jwtk_jjwt,travis_to_gha,few-shot,998,506,1504,0.00756
kaklakariada_portmapper,travis_to_gha,zero-shot,627,384,1011,0.00541
kaklakariada_portmapper,travis_to_gha,few-shot,627,308,935,0.00465
knowm_Yank,travis_to_gha,zero-shot,564,226,790,0.00367
knowm_Yank,travis_to_gha,few-shot,564,168,732,0.00309
komoot_photon,travis_to_gha,zero-shot,501,142,643,0.00267
komoot_photon,travis_to_gha,few-shot,501,134,635,0.00259
kordamp_ikonli,travis_to_gha,zero-shot,597,320,917,0.00469
kordamp_ikonli,travis_to_gha,few-shot,597,287,884,0.00436
kryptokrauts_aepp-sdk-java,travis_to_gha,zero-shot,975,870,1845,0.01114
kryptokrauts_aepp-sdk-java,travis_to_gha,few-shot,975,859,1834,0.01103
line_decaton,travis_to_gha,zero-shot,566,283,849,0.00425
line_decaton,travis_to_gha,few-shot,566,249,815,0.00391
linkedin_avro-util,travis_to_gha,zero-shot,756,473,1229,0.00662
linkedin_avro-util,travis_to_gha,few-shot,756,374,1130,0.00563
mate-academy_hibernate-configuration-hw,travis_to_gha,zero-shot,501,193,694,0.00318
mate-academy_hibernate-configuration-hw,travis_to_gha,few-shot,501,175,676,0.003
mendhak_gpslogger,travis_to_gha,zero-shot,813,513,1326,0.00716
mendhak_gpslogger,travis_to_gha,few-shot,813,408,1221,0.00611
michaelliao_itranswarp,travis_to_gha,zero-shot,494,157,651,0.00281
michaelliao_itranswarp,travis_to_gha,few-shot,494,114,608,0.00237
micheljung_nocatch,travis_to_gha,zero-shot,605,387,992,0.00538
micheljung_nocatch,travis_to_gha,few-shot,605,226,831,0.00377
miho_VTCC,travis_to_gha,zero-shot,527,163,690,0.00295
miho_VTCC,travis_to_gha,few-shot,527,148,675,0.0028
MilkBowl_VaultAPI,travis_to_gha,zero-shot,528,184,712,0.00316
MilkBowl_VaultAPI,travis_to_gha,few-shot,528,164,692,0.00296
MineLittlePony_BigPony,travis_to_gha,zero-shot,608,488,1096,0.0064
MineLittlePony_BigPony,travis_to_gha,few-shot,608,474,1082,0.00626
MineLittlePony_HDSkins,travis_to_gha,zero-shot,608,490,1098,0.00642
MineLittlePony_HDSkins,travis_to_gha,few-shot,608,474,1082,0.00626
minio_minio-java,travis_to_gha,zero-shot,520,204,724,0.00334
minio_minio-java,travis_to_gha,few-shot,520,139,659,0.00269
msmobility_silo,travis_to_gha,zero-shot,544,182,726,0.00318
msmobility_silo,travis_to_gha,few-shot,544,164,708,0.003
neo4j-contrib_neo4j-jdbc,travis_to_gha,zero-shot,508,122,630,0.00249
neo4j-contrib_neo4j-jdbc,travis_to_gha,few-shot,508,148,656,0.00275
NetLogo_Matrix-Extension,travis_to_gha,zero-shot,546,390,936,0.00526
NetLogo_Matrix-Extension,travis_to_gha,few-shot,546,250,796,0.00387
nhl_dflib,travis_to_gha,zero-shot,615,293,908,0.00447
nhl_dflib,travis_to_gha,few-shot,615,252,867,0.00406
nkonev_blog,travis_to_gha,zero-shot,987,711,1698,0.00958
nkonev_blog,travis_to_gha,few-shot,987,792,1779,0.01039
nsoft_jesterj,travis_to_gha,zero-shot,628,333,961,0.0049
nsoft_jesterj,travis_to_gha,few-shot,628,325,953,0.00482
OHNLP_MedTagger,travis_to_gha,zero-shot,638,313,951,0.00473
OHNLP_MedTagger,travis_to_gha,few-shot,638,267,905,0.00426
opencadc_cadc-target-resolver,travis_to_gha,zero-shot,899,604,1503,0.00829
