mode,direction,category,count,pct_of_failures,total_in_group
few-shot,travis_to_gha,markdown_fence_with_preamble,115,76.2,153
few-shot,travis_to_gha,few_shot_example_echo,27,17.9,153
few-shot,travis_to_gha,duplicate_or_hallucinated_keys,5,3.3,153
few-shot,travis_to_gha,input_echo_not_migrated,4,2.6,153
few-shot,gha_to_travis,markdown_fence_with_preamble,120,78.9,153
few-shot,gha_to_travis,input_echo_not_migrated,20,13.2,153
few-shot,gha_to_travis,few_shot_example_echo,8,5.3,153
few-shot,gha_to_travis,other_yaml_structure_error,2,1.3,153
few-shot,gha_to_travis,markdown_fence_only,1,0.7,153
few-shot,gha_to_travis,duplicate_or_hallucinated_keys,1,0.7,153
zero-shot,travis_to_gha,duplicate_or_hallucinated_keys,54,47.0,153
zero-shot,travis_to_gha,markdown_fence_only,34,29.6,153
zero-shot,travis_to_gha,few_shot_example_echo,20,17.4,153
zero-shot,travis_to_gha,input_echo_not_migrated,4,3.5,153
zero-shot,travis_to_gha,markdown_fence_with_preamble,2,1.7,153
zero-shot,travis_to_gha,other_yaml_structure_error,1,0.9,153
zero-shot,gha_to_travis,duplicate_or_hallucinated_keys,45,38.1,153
zero-shot,gha_to_travis,markdown_fence_only,43,36.4,153
zero-shot,gha_to_travis,input_echo_not_migrated,21,17.8,153
zero-shot,gha_to_travis,other_yaml_structure_error,8,6.8,153
zero-shot,gha_to_travis,markdown_fence_with_preamble,1,0.8,153
