Run,Mode,Migration Direction,Model,Step 1: Model Loading,Step 2: LoRA Adapters,Step 3: Data Preparation,Step 4: Trainer Preparation,Step 5: Model Training,Step 6: Model Evaluation,Step 7: Model Saving,Total Seconds,Total Minutes
Set_90_10_V_01,finetune,gha_to_travis,gemma3_12b,1072.19,2.91,0.39,30.20,276.38,286.29,77.71,1746.13,29.10
Set_90_10_V_01,finetune,travis_to_gha,gemma3_12b,1135.34,2.61,0.32,25.12,270.93,584.97,95.52,2114.85,35.25
Set_90_10_V_02,finetune,gha_to_travis,gemma3_12b,1060.42,3.94,0.30,25.48,263.72,497.39,92.77,1944.06,32.40
Set_90_10_V_02,finetune,travis_to_gha,gemma3_12b,1058.91,2.60,0.31,25.00,256.91,696.56,81.02,2121.35,35.36
Set_90_10_V_03,finetune,gha_to_travis,gemma3_12b,1103.09,2.72,0.31,26.60,275.32,316.16,79.77,1804.01,30.07
Set_90_10_V_03,finetune,travis_to_gha,gemma3_12b,1061.08,2.75,0.32,25.43,272.79,556.51,78.06,1996.98,33.28
Set_90_10_V_04,finetune,gha_to_travis,gemma3_12b,1060.47,2.71,0.32,25.28,265.37,319.06,89.13,1762.39,29.37
Set_90_10_V_04,finetune,travis_to_gha,gemma3_12b,1103.01,2.64,0.31,25.41,265.61,523.01,81.21,2001.24,33.35
Set_90_10_V_05,finetune,gha_to_travis,gemma3_12b,1066.14,2.72,0.34,28.64,263.19,371.58,80.82,1813.46,30.22
Set_90_10_V_05,finetune,travis_to_gha,gemma3_12b,1059.06,2.75,0.32,26.03,261.53,555.59,88.31,1993.62,33.23
Set_90_10_V_06,finetune,gha_to_travis,gemma3_12b,1068.62,2.72,0.34,29.43,269.75,435.37,86.00,1892.28,31.54
Set_90_10_V_06,finetune,travis_to_gha,gemma3_12b,1058.70,2.57,0.31,26.21,281.74,678.24,86.03,2133.83,35.56
Set_90_10_V_07,finetune,gha_to_travis,gemma3_12b,1216.87,2.88,0.35,29.92,285.25,320.87,96.07,1952.24,32.54
Set_90_10_V_07,finetune,travis_to_gha,gemma3_12b,1216.58,2.67,0.34,26.29,291.55,527.93,97.40,2162.79,36.05
Set_90_10_V_08,finetune,gha_to_travis,gemma3_12b,1062.87,2.52,0.36,26.33,275.88,368.98,96.99,1833.98,30.57
Set_90_10_V_08,finetune,travis_to_gha,gemma3_12b,1142.26,2.52,0.34,27.13,293.17,525.38,89.66,2081.90,34.70
Set_90_10_V_09,finetune,gha_to_travis,gemma3_12b,1059.81,3.15,0.41,25.59,273.10,243.79,108.66,1714.53,28.58
Set_90_10_V_09,finetune,travis_to_gha,gemma3_12b,1112.38,2.87,0.34,29.33,291.01,464.54,83.75,1984.25,33.07
Set_90_10_V_10,finetune,gha_to_travis,gemma3_12b,1141.64,2.90,0.35,29.19,273.64,379.16,92.68,1919.59,31.99
Set_90_10_V_10,finetune,travis_to_gha,gemma3_12b,1141.66,2.87,0.33,29.72,275.90,551.19,90.07,2091.78,34.86
Set_80_20_V_01,finetune,gha_to_travis,gemma3_12b,1061.79,2.73,0.30,26.06,237.20,826.81,94.25,2249.19,37.49
Set_80_20_V_01,finetune,travis_to_gha,gemma3_12b,1141.25,2.58,0.30,26.07,237.17,1307.91,103.97,2819.30,46.99
Set_80_20_V_02,finetune,gha_to_travis,gemma3_12b,1186.07,2.88,0.35,28.89,239.75,676.90,89.60,2224.47,37.07
Set_80_20_V_02,finetune,travis_to_gha,gemma3_12b,1186.02,2.90,0.38,28.27,239.87,1093.71,91.41,2642.59,44.04
Set_80_20_V_03,finetune,gha_to_travis,gemma3_12b,1067.67,2.76,0.34,29.03,240.56,909.28,102.56,2352.23,39.20
Set_80_20_V_03,finetune,travis_to_gha,gemma3_12b,1060.26,2.85,0.33,28.13,243.91,1262.82,82.08,2680.42,44.67
Set_80_20_V_04,finetune,gha_to_travis,gemma3_12b,1061.09,2.62,0.30,27.48,248.78,742.10,95.02,2177.42,36.29
Set_80_20_V_04,finetune,travis_to_gha,gemma3_12b,1062.91,2.78,0.50,27.25,247.79,1085.39,97.44,2524.09,42.07
Set_80_20_V_05,finetune,gha_to_travis,gemma3_12b,1202.70,2.69,0.32,24.95,265.24,489.45,82.88,2068.28,34.47
Set_80_20_V_05,finetune,travis_to_gha,gemma3_12b,1065.08,2.84,0.33,28.17,251.58,903.21,101.15,2352.39,39.21
Set_Full,few_shot,gha_to_travis,gemma3_12b,1132.63,0.00,0.02,0.00,0.00,3180.97,0.00,4313.65,71.89
Set_Full,few_shot,gha_to_travis,llama3_1_8b,583.44,0.00,0.02,0.00,0.00,1014.32,0.00,1597.83,26.63
Set_Full,few_shot,gha_to_travis,mistral_7b,528.14,0.00,0.02,0.00,0.00,953.21,0.00,1481.40,24.69
Set_Full,few_shot,gha_to_travis,gpt-4o,0.02,2078.91,0,0,0,0,0,2080.91,34.68
Set_Full,few_shot,travis_to_gha,gpt-4o,0.01,2227.64,0,0,0,0,0,2227.65,37.13
Set_Full,few_shot,travis_to_gha,gemma3_12b,1069.63,0.00,0.02,0.00,0.00,3782.58,0.00,4852.27,80.87
Set_Full,few_shot,travis_to_gha,llama3_1_8b,528.86,0.00,0.02,0.00,0.00,1067.46,0.00,1596.37,26.61
Set_Full,few_shot,travis_to_gha,mistral_7b,527.49,0.00,0.02,0.00,0.00,1241.19,0.00,1768.74,29.48
Set_Full,zero_shot,gha_to_travis,gemma3_12b,1202.77,0.00,0.02,0.00,0.00,4244.31,0.00,5447.14,90.79
Set_Full,zero_shot,gha_to_travis,llama3_1_8b,631.56,0.00,0.03,0.00,0.00,1366.87,0.00,1998.49,33.31
Set_Full,zero_shot,gha_to_travis,mistral_7b,573.94,0.00,0.02,0.00,0.00,1398.84,0.00,1972.83,32.88
Set_Full,zero_shot,gha_to_travis,gpt-4o,0.01,2205.12,0,0,0,0,0,2206.12,36.77
Set_Full,zero_shot,travis_to_gha,gpt-4o,0.01,2030.52,0,0,0,0,0,2030.53,33.84
