project,setting,n_files,score_mean,yaml_pass_rate,external_pass_rate,yaml_score_mean,external_score_mean
ANierbeck_Karaf-Vertx,CIMig,2,0.0,0.0,0.0,0.0,0.0
AreaFiftyLAN_lancie-api,CIMig,2,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,CIMig,2,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
AtomGraph_Processor,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
AtomGraph_Processor,Few-Shot,8,0.375,0.5,0.25,0.5,0.25
AuScope_NVCLAnalyticalServices,CIMig,2,0.0,0.0,0.0,0.0,0.0
AuScope_NVCLAnalyticalServices,Zero-Shot,8,0.5,0.5,0.5,0.5,0.5
AuScope_NVCLAnalyticalServices,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
AxonIQ_axonserver-connector-java,CIMig,2,0.0,0.0,0.0,0.0,0.0
AxonIQ_axonserver-connector-java,Zero-Shot,8,0.8125,0.875,0.75,0.875,0.75
AxonIQ_axonserver-connector-java,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Few-Shot,8,0.4375,0.5,0.375,0.5,0.375
BentoBoxWorld_BSkyBlock,CIMig,2,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,CIMig,2,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,Zero-Shot,8,0.5,0.5,0.5,0.5,0.5
BombusMod_BombusMod,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
CST-Group_cst,CIMig,2,0.0,0.0,0.0,0.0,0.0
CST-Group_cst,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
CST-Group_cst,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
CodelyTV_java-basic-skeleton,CIMig,2,0.0,0.0,0.0,0.0,0.0
CodelyTV_java-basic-skeleton,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
CodelyTV_java-basic-skeleton,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
CompEvol_sampled-ancestors,CIMig,2,0.0,0.0,0.0,0.0,0.0
ConsensusJ_consensusj,CIMig,2,0.5,0.5,0.5,0.5,0.5
ConsensusJ_consensusj,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
ConsensusJ_consensusj,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
ConsensusJ_consensusj,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
Coolerfall_Android-HttpDownloadManager,CIMig,2,0.0,0.0,0.0,0.0,0.0
Coolerfall_Android-HttpDownloadManager,Zero-Shot,8,0.375,0.5,0.25,0.5,0.25
Coolerfall_Android-HttpDownloadManager,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
Coolerfall_Android-HttpDownloadManager,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
CyclopsMC_EvilCraft,CIMig,2,0.25,0.5,0.0,0.5,0.0
Devskiller_friendly-id,CIMig,2,0.0,0.0,0.0,0.0,0.0
EBIvariation_eva-pipeline,CIMig,2,0.0,0.0,0.0,0.0,0.0
EngineHub_WorldEdit,CIMig,2,0.0,0.0,0.0,0.0,0.0
Ericsson_ecchronos,CIMig,2,0.0,0.0,0.0,0.0,0.0
Erigitic_TotalEconomy,CIMig,2,0.0,0.0,0.0,0.0,0.0
FasterXML_jackson-databind,CIMig,2,0.5,0.5,0.5,0.5,0.5
FasterXML_jackson-datatypes-collections,CIMig,2,0.5,0.5,0.5,0.5,0.5
FasterXML_jackson-jr,CIMig,2,0.0,0.0,0.0,0.0,0.0
FasterXML_jackson-jr,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
FasterXML_jackson-jr,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
FasterXML_jackson-jr,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
FluentLenium_FluentLenium,CIMig,2,0.0,0.0,0.0,0.0,0.0
FreeCol_freecol,CIMig,2,0.0,0.0,0.0,0.0,0.0
Gepardec_Hogarama,CIMig,2,0.25,0.5,0.0,0.5,0.0
Gepardec_Hogarama,Zero-Shot,8,0.875,0.875,0.875,0.875,0.875
Gepardec_Hogarama,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
Gepardec_Hogarama,Few-Shot,8,0.5,0.5,0.5,0.5,0.5
GrowthcraftCE_Growthcraft-1.12,CIMig,2,0.0,0.0,0.0,0.0,0.0
GrowthcraftCE_Growthcraft-1.12,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
GrowthcraftCE_Growthcraft-1.12,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
GrowthcraftCE_Growthcraft-1.12,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
Hakky54_mutual-tls-ssl,CIMig,2,0.0,0.0,0.0,0.0,0.0
Hakky54_mutual-tls-ssl,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
Hakky54_mutual-tls-ssl,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
Hakky54_mutual-tls-ssl,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
IBM_cloudant-java-sdk,CIMig,2,0.0,0.0,0.0,0.0,0.0
Iterable_iterable-android-sdk,CIMig,2,0.0,0.0,0.0,0.0,0.0
JanusGraph_janusgraph-foundationdb,CIMig,2,0.0,0.0,0.0,0.0,0.0
JetBrains_jediterm,CIMig,2,0.5,0.5,0.5,0.5,0.5
JetBrains_jediterm,Zero-Shot,8,0.625,0.625,0.625,0.625,0.625
JetBrains_jediterm,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
JetBrains_jediterm,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
JodaOrg_joda-time,CIMig,2,0.0,0.0,0.0,0.0,0.0
JodaOrg_joda-time,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
JodaOrg_joda-time,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
JodaOrg_joda-time,Few-Shot,8,0.5625,0.625,0.5,0.625,0.5
Kaktushose_LS-ModManager,CIMig,2,0.0,0.0,0.0,0.0,0.0
MilkBowl_VaultAPI,CIMig,2,0.0,0.0,0.0,0.0,0.0
MilkBowl_VaultAPI,Zero-Shot,8,0.4375,0.5,0.375,0.5,0.375
MilkBowl_VaultAPI,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
MilkBowl_VaultAPI,Few-Shot,8,0.625,0.75,0.5,0.75,0.5
MineLittlePony_BigPony,CIMig,2,0.25,0.5,0.0,0.5,0.0
MineLittlePony_BigPony,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
MineLittlePony_BigPony,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
