project,setting,direction,model,service,n_files,score_mean,yaml_pass_rate,external_pass_rate,yaml_score_mean,external_score_mean
ANierbeck_Karaf-Vertx,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
ANierbeck_Karaf-Vertx,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
AreaFiftyLAN_lancie-api,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
AreaFiftyLAN_lancie-api,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,Zero-Shot,travis_to_gha,gemma3_12b,gha,1,0.5,1.0,0.0,1.0,0.0
AtomGraph_Processor,Zero-Shot,travis_to_gha,llama3_1_8b,gha,1,1.0,1.0,1.0,1.0,1.0
AtomGraph_Processor,Zero-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
AtomGraph_Processor,Zero-Shot,travis_to_gha,mistral_7b,gha,1,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,Zero-Shot,gha_to_travis,gemma3_12b,travis,1,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,Zero-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,Zero-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
AtomGraph_Processor,Zero-Shot,gha_to_travis,mistral_7b,travis,1,1.0,1.0,1.0,1.0,1.0
AtomGraph_Processor,Fine-Tuned,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
AtomGraph_Processor,Fine-Tuned,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
AtomGraph_Processor,Few-Shot,travis_to_gha,gemma3_12b,gha,1,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,Few-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,Few-Shot,travis_to_gha,gpt-4o,gha,1,0.5,1.0,0.0,1.0,0.0
AtomGraph_Processor,Few-Shot,travis_to_gha,mistral_7b,gha,1,0.5,1.0,0.0,1.0,0.0
AtomGraph_Processor,Few-Shot,gha_to_travis,gemma3_12b,travis,1,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,Few-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,Few-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
AtomGraph_Processor,Few-Shot,gha_to_travis,mistral_7b,travis,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
AuScope_NVCLAnalyticalServices,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
AuScope_NVCLAnalyticalServices,Zero-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Zero-Shot,travis_to_gha,llama3_1_8b,gha,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Zero-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Zero-Shot,travis_to_gha,mistral_7b,gha,1,0.0,0.0,0.0,0.0,0.0
AuScope_NVCLAnalyticalServices,Zero-Shot,gha_to_travis,gemma3_12b,travis,1,0.0,0.0,0.0,0.0,0.0
AuScope_NVCLAnalyticalServices,Zero-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
AuScope_NVCLAnalyticalServices,Zero-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Zero-Shot,gha_to_travis,mistral_7b,travis,1,0.0,0.0,0.0,0.0,0.0
AuScope_NVCLAnalyticalServices,Fine-Tuned,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Fine-Tuned,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Few-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Few-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
AuScope_NVCLAnalyticalServices,Few-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Few-Shot,travis_to_gha,mistral_7b,gha,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Few-Shot,gha_to_travis,gemma3_12b,travis,1,0.0,0.0,0.0,0.0,0.0
AuScope_NVCLAnalyticalServices,Few-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
AuScope_NVCLAnalyticalServices,Few-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
AuScope_NVCLAnalyticalServices,Few-Shot,gha_to_travis,mistral_7b,travis,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
AxonIQ_axonserver-connector-java,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
AxonIQ_axonserver-connector-java,Zero-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Zero-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
AxonIQ_axonserver-connector-java,Zero-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Zero-Shot,travis_to_gha,mistral_7b,gha,1,0.5,1.0,0.0,1.0,0.0
AxonIQ_axonserver-connector-java,Zero-Shot,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Zero-Shot,gha_to_travis,llama3_1_8b,travis,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Zero-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Zero-Shot,gha_to_travis,mistral_7b,travis,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Fine-Tuned,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Fine-Tuned,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Few-Shot,travis_to_gha,gemma3_12b,gha,1,0.5,1.0,0.0,1.0,0.0
AxonIQ_axonserver-connector-java,Few-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
AxonIQ_axonserver-connector-java,Few-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Few-Shot,travis_to_gha,mistral_7b,gha,1,0.0,0.0,0.0,0.0,0.0
AxonIQ_axonserver-connector-java,Few-Shot,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Few-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
AxonIQ_axonserver-connector-java,Few-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
AxonIQ_axonserver-connector-java,Few-Shot,gha_to_travis,mistral_7b,travis,1,0.0,0.0,0.0,0.0,0.0
BentoBoxWorld_BSkyBlock,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
BentoBoxWorld_BSkyBlock,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,Zero-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
BombusMod_BombusMod,Zero-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,Zero-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
BombusMod_BombusMod,Zero-Shot,travis_to_gha,mistral_7b,gha,1,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,Zero-Shot,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
BombusMod_BombusMod,Zero-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,Zero-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
BombusMod_BombusMod,Zero-Shot,gha_to_travis,mistral_7b,travis,1,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,Few-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
BombusMod_BombusMod,Few-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,Few-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
BombusMod_BombusMod,Few-Shot,travis_to_gha,mistral_7b,gha,1,1.0,1.0,1.0,1.0,1.0
BombusMod_BombusMod,Few-Shot,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
BombusMod_BombusMod,Few-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,Few-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
BombusMod_BombusMod,Few-Shot,gha_to_travis,mistral_7b,travis,1,0.0,0.0,0.0,0.0,0.0
CST-Group_cst,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
CST-Group_cst,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
CST-Group_cst,Zero-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Zero-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
CST-Group_cst,Zero-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Zero-Shot,travis_to_gha,mistral_7b,gha,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Zero-Shot,gha_to_travis,gemma3_12b,travis,1,0.0,0.0,0.0,0.0,0.0
CST-Group_cst,Zero-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
CST-Group_cst,Zero-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Zero-Shot,gha_to_travis,mistral_7b,travis,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Fine-Tuned,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Fine-Tuned,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Few-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Few-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
CST-Group_cst,Few-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Few-Shot,travis_to_gha,mistral_7b,gha,1,0.5,1.0,0.0,1.0,0.0
CST-Group_cst,Few-Shot,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Few-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
CST-Group_cst,Few-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
CST-Group_cst,Few-Shot,gha_to_travis,mistral_7b,travis,1,0.0,0.0,0.0,0.0,0.0
CodelyTV_java-basic-skeleton,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
CodelyTV_java-basic-skeleton,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
CodelyTV_java-basic-skeleton,Zero-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Zero-Shot,travis_to_gha,llama3_1_8b,gha,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Zero-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Zero-Shot,travis_to_gha,mistral_7b,gha,1,0.0,0.0,0.0,0.0,0.0
CodelyTV_java-basic-skeleton,Zero-Shot,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Zero-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
CodelyTV_java-basic-skeleton,Zero-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Zero-Shot,gha_to_travis,mistral_7b,travis,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Fine-Tuned,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Fine-Tuned,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Few-Shot,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Few-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
CodelyTV_java-basic-skeleton,Few-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Few-Shot,travis_to_gha,mistral_7b,gha,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Few-Shot,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Few-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
CodelyTV_java-basic-skeleton,Few-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
CodelyTV_java-basic-skeleton,Few-Shot,gha_to_travis,mistral_7b,travis,1,1.0,1.0,1.0,1.0,1.0
CompEvol_sampled-ancestors,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
CompEvol_sampled-ancestors,CIMig,gha_to_travis,CIMig,travis,1,0.0,0.0,0.0,0.0,0.0
ConsensusJ_consensusj,CIMig,travis_to_gha,CIMig,gha,1,0.0,0.0,0.0,0.0,0.0
ConsensusJ_consensusj,CIMig,gha_to_travis,CIMig,travis,1,1.0,1.0,1.0,1.0,1.0
ConsensusJ_consensusj,Zero-Shot,travis_to_gha,gemma3_12b,gha,1,0.5,1.0,0.0,1.0,0.0
ConsensusJ_consensusj,Zero-Shot,travis_to_gha,llama3_1_8b,gha,1,0.0,0.0,0.0,0.0,0.0
ConsensusJ_consensusj,Zero-Shot,travis_to_gha,gpt-4o,gha,1,1.0,1.0,1.0,1.0,1.0
ConsensusJ_consensusj,Zero-Shot,travis_to_gha,mistral_7b,gha,1,0.0,0.0,0.0,0.0,0.0
ConsensusJ_consensusj,Zero-Shot,gha_to_travis,gemma3_12b,travis,1,1.0,1.0,1.0,1.0,1.0
ConsensusJ_consensusj,Zero-Shot,gha_to_travis,llama3_1_8b,travis,1,0.0,0.0,0.0,0.0,0.0
ConsensusJ_consensusj,Zero-Shot,gha_to_travis,gpt-4o,travis,1,1.0,1.0,1.0,1.0,1.0
ConsensusJ_consensusj,Zero-Shot,gha_to_travis,mistral_7b,travis,1,0.0,0.0,0.0,0.0,0.0
ConsensusJ_consensusj,Fine-Tuned,travis_to_gha,gemma3_12b,gha,1,1.0,1.0,1.0,1.0,1.0
