project,n_files,score_mean,yaml_pass_rate,external_pass_rate,yaml_score_mean,external_score_mean
ANierbeck_Karaf-Vertx,2,0.0,0.0,0.0,0.0,0.0
AreaFiftyLAN_lancie-api,2,0.0,0.0,0.0,0.0,0.0
AtomGraph_Processor,20,0.475,0.55,0.4,0.55,0.4
AuScope_NVCLAnalyticalServices,20,0.55,0.55,0.55,0.55,0.55
AxonIQ_axonserver-connector-java,20,0.6,0.65,0.55,0.65,0.55
BentoBoxWorld_BSkyBlock,2,0.0,0.0,0.0,0.0,0.0
BombusMod_BombusMod,18,0.5,0.5,0.5,0.5,0.5
CST-Group_cst,20,0.575,0.6,0.55,0.6,0.55
CodelyTV_java-basic-skeleton,20,0.7,0.7,0.7,0.7,0.7
CompEvol_sampled-ancestors,2,0.0,0.0,0.0,0.0,0.0
ConsensusJ_consensusj,20,0.625,0.65,0.6,0.65,0.6
Coolerfall_Android-HttpDownloadManager,20,0.55,0.6,0.5,0.6,0.5
CyclopsMC_EvilCraft,2,0.25,0.5,0.0,0.5,0.0
Devskiller_friendly-id,2,0.0,0.0,0.0,0.0,0.0
EBIvariation_eva-pipeline,2,0.0,0.0,0.0,0.0,0.0
EngineHub_WorldEdit,2,0.0,0.0,0.0,0.0,0.0
Ericsson_ecchronos,2,0.0,0.0,0.0,0.0,0.0
Erigitic_TotalEconomy,2,0.0,0.0,0.0,0.0,0.0
FasterXML_jackson-databind,2,0.5,0.5,0.5,0.5,0.5
FasterXML_jackson-datatypes-collections,2,0.5,0.5,0.5,0.5,0.5
FasterXML_jackson-jr,20,0.7,0.7,0.7,0.7,0.7
FluentLenium_FluentLenium,2,0.0,0.0,0.0,0.0,0.0
FreeCol_freecol,2,0.0,0.0,0.0,0.0,0.0
Gepardec_Hogarama,20,0.675,0.7,0.65,0.7,0.65
GrowthcraftCE_Growthcraft-1.12,20,0.575,0.65,0.5,0.65,0.5
Hakky54_mutual-tls-ssl,20,0.675,0.7,0.65,0.7,0.65
IBM_cloudant-java-sdk,2,0.0,0.0,0.0,0.0,0.0
Iterable_iterable-android-sdk,2,0.0,0.0,0.0,0.0,0.0
JanusGraph_janusgraph-foundationdb,2,0.0,0.0,0.0,0.0,0.0
JetBrains_jediterm,20,0.7,0.7,0.7,0.7,0.7
JodaOrg_joda-time,20,0.6,0.65,0.55,0.65,0.55
Kaktushose_LS-ModManager,2,0.0,0.0,0.0,0.0,0.0
MilkBowl_VaultAPI,20,0.525,0.6,0.45,0.6,0.45
MineLittlePony_BigPony,20,0.6,0.65,0.55,0.65,0.55
MineLittlePony_HDSkins,20,0.575,0.6,0.55,0.6,0.55
MineLittlePony_MineLittlePony,2,0.0,0.0,0.0,0.0,0.0
NetLogo_Matrix-Extension,20,0.675,0.7,0.65,0.7,0.65
OHNLP_MedTagger,20,0.425,0.5,0.35,0.5,0.35
OSGeo_PROJ-JNI,20,0.525,0.55,0.5,0.55,0.5
OpenLiberty_ci.maven,20,0.575,0.65,0.5,0.65,0.5
OpenLiberty_guide-arquillian-managed,20,0.5,0.55,0.45,0.55,0.45
OpenLiberty_guide-cloud-azure,20,0.55,0.55,0.55,0.55,0.55
Paul2708_simple-commands,20,0.575,0.6,0.55,0.6,0.55
PepperLola_playerinfo,20,0.35,0.4,0.3,0.4,0.3
Pi4J_pi4j-v2,20,0.5,0.55,0.45,0.55,0.45
PojavLauncherTeam_PojavLauncher,20,0.575,0.65,0.5,0.65,0.5
SAP_hybris-commerce-eclipse-plugin,2,0.0,0.0,0.0,0.0,0.0
Sandec_JMemoryBuddy,20,0.675,0.7,0.65,0.7,0.65
Smarteon_loxone-java,20,0.55,0.6,0.5,0.6,0.5
TagnumElite_ProjectE-Integration,20,0.55,0.65,0.45,0.65,0.45
ThatKawaiiSam_Assemble,20,0.625,0.65,0.6,0.65,0.6
TrNdy_mastodon-tracking,20,0.65,0.7,0.6,0.7,0.6
Twasi_twasi-core,20,0.6,0.7,0.5,0.7,0.5
WISVCH_events,20,0.5,0.6,0.4,0.6,0.4
WojciechZankowski_iextrading4j,2,0.0,0.0,0.0,0.0,0.0
YakushevVladimir_BibleQuote-for-Android,20,0.625,0.7,0.55,0.7,0.55
adobe_experience-platform-streaming-connect,20,0.5,0.55,0.45,0.55,0.45
agateau_pixelwheels,20,0.675,0.75,0.6,0.75,0.6
airbnb_AirMapView,2,0.0,0.0,0.0,0.0,0.0
airlift_aircompressor,2,0.0,0.0,0.0,0.0,0.0
akka_alpakka-samples,2,0.0,0.0,0.0,0.0,0.0
albertus82_cyclesmod,20,0.625,0.65,0.6,0.65,0.6
albfernandez_joinpdf,2,0.0,0.0,0.0,0.0,0.0
alexeytokar_rainbow-rest,2,0.0,0.0,0.0,0.0,0.0
alexvasilkov_GestureViews,20,0.5,0.6,0.4,0.6,0.4
amzn_ion-java,2,0.0,0.0,0.0,0.0,0.0
anand1st_sshd-shell-spring-boot,20,0.7,0.7,0.7,0.7,0.7
anastaciocintra_escpos-coffee,20,0.65,0.65,0.65,0.65,0.65
apache_bahir-flink,2,0.0,0.0,0.0,0.0,0.0
apache_calcite,2,0.0,0.0,0.0,0.0,0.0
apache_commons-collections,2,0.0,0.0,0.0,0.0,0.0
apache_commons-lang,2,0.0,0.0,0.0,0.0,0.0
apache_commons-ognl,2,0.0,0.0,0.0,0.0,0.0
apache_drill,2,0.0,0.0,0.0,0.0,0.0
apache_dubbo-spi-extensions,20,0.575,0.6,0.55,0.6,0.55
apache_maven-enforcer,20,0.65,0.7,0.6,0.7,0.6
apache_maven-resolver,2,0.0,0.0,0.0,0.0,0.0
apache_maven-surefire,2,0.5,0.5,0.5,0.5,0.5
apache_parquet-format,2,0.0,0.0,0.0,0.0,0.0
apache_parquet-mr,2,0.0,0.0,0.0,0.0,0.0
apache_tinkerpop,2,0.0,0.0,0.0,0.0,0.0
azarnovdaniil_java-net-course,20,0.75,0.75,0.75,0.75,0.75
ballerina-platform_module-ballerina-docker,20,0.475,0.5,0.45,0.5,0.45
bancolombia_scaffold-clean-architecture,2,0.0,0.0,0.0,0.0,0.0
billthefarmer_currency,20,0.575,0.6,0.55,0.6,0.55
billthefarmer_editor,20,0.7,0.7,0.7,0.7,0.7
bootique_bootique-logback,20,0.625,0.65,0.6,0.65,0.6
bric3_mockito,2,0.0,0.0,0.0,0.0,0.0
btraceio_btrace,20,0.375,0.45,0.3,0.45,0.3
cdk_cdk,20,0.6,0.65,0.55,0.65,0.55
checkout_checkout-sdk-java,2,0.0,0.0,0.0,0.0,0.0
constellation-app_constellation,20,0.375,0.45,0.3,0.45,0.3
criteo_cassandra_exporter,2,0.0,0.0,0.0,0.0,0.0
cronn_ssh-proxy,2,0.0,0.0,0.0,0.0,0.0
cryptomator_dokany-nio-adapter,20,0.3,0.35,0.25,0.35,0.25
devaneios-ifsp_turma-de-elite-backend,20,0.675,0.75,0.6,0.75,0.6
dhatim_safesql,20,0.5,0.55,0.45,0.55,0.45
dlsc-software-consulting-gmbh_GemsFX,20,0.4,0.5,0.3,0.5,0.3
dogtagpki_jss,20,0.55,0.65,0.45,0.65,0.45
dschadow_CloudSecurity,2,0.0,0.0,0.0,0.0,0.0
eclipse_lemminx,18,0.5,0.6111,0.3889,0.6111,0.3889
elixir-cloud-aai_tesk-api,20,0.6,0.65,0.55,0.65,0.55
encircled_Joiner,20,0.675,0.7,0.65,0.7,0.65
feedzai_feedzai-openml,20,0.525,0.6,0.45,0.6,0.45
fiji_Cell_Counter,20,0.6,0.7,0.5,0.7,0.5
fiji_KymographBuilder,20,0.55,0.65,0.45,0.65,0.45
fiji_SPIM_Registration,20,0.575,0.7,0.45,0.7,0.45
fiji_VIB-lib,20,0.55,0.65,0.45,0.65,0.45
fiji_cookbook,20,0.575,0.65,0.5,0.65,0.5
fiji_pQCT,20,0.575,0.6,0.55,0.6,0.55
future-architect_uroborosql,20,0.5,0.55,0.45,0.55,0.45
gayanvoice_android-vpn-client-ics-openvpn,20,0.7,0.75,0.65,0.75,0.65
gessnerfl_rabbitmq-queue-management,20,0.6,0.65,0.55,0.65,0.55
getgauge_gauge-gradle-plugin,2,0.5,0.5,0.5,0.5,0.5
gliwka_hyperscan-java,2,0.0,0.0,0.0,0.0,0.0
gotify_android,20,0.45,0.55,0.35,0.55,0.35
gwtproject_gwt-window,2,0.0,0.0,0.0,0.0,0.0
h2database_h2database,2,0.0,0.0,0.0,0.0,0.0
hank-cp_sbp,2,0.0,0.0,0.0,0.0,0.0
heremaps_here-aaa-java-sdk,2,0.0,0.0,0.0,0.0,0.0
hmcts_ccpay-payment-app,20,0.525,0.6,0.45,0.6,0.45
httptoolkit_httptoolkit-android,2,0.0,0.0,0.0,0.0,0.0
hugegraph_hugegraph-client,2,0.25,0.5,0.0,0.5,0.0
ibissource_iaf,20,0.525,0.6,0.45,0.6,0.45
ical4j_ical4j-connector,20,0.55,0.55,0.55,0.55,0.55
igniterealtime_openfire-xmldebugger-plugin,20,0.625,0.75,0.5,0.75,0.5
image-transform-converters_image-transform-converters,2,0.0,0.0,0.0,0.0,0.0
imglib_imglib2,20,0.525,0.55,0.5,0.55,0.5
imglib_imglib2-realtransform,2,0.0,0.0,0.0,0.0,0.0
imglib_imglib2-roi,2,0.0,0.0,0.0,0.0,0.0
imglib_imglib2-tutorials,20,0.55,0.65,0.45,0.65,0.45
inferno-framework_fhir-validator-wrapper,20,0.475,0.55,0.4,0.55,0.4
io7m_changelog,2,0.0,0.0,0.0,0.0,0.0
io7m_jcamera,20,0.575,0.6,0.55,0.6,0.55
io7m_jeucreader,2,0.0,0.0,0.0,0.0,0.0
io7m_jmurmur,20,0.625,0.65,0.6,0.65,0.6
io7m_jproperties,20,0.6,0.65,0.55,0.65,0.55
io7m_jsx,20,0.6,0.65,0.55,0.65,0.55
ipregistry_ipregistry-java,20,0.6,0.6,0.6,0.6,0.6
jakubplichta_git-changelog-maven-plugin,20,0.625,0.65,0.6,0.65,0.6
jbee_silk,20,0.725,0.8,0.65,0.8,0.65
jboss_tyr,20,0.725,0.75,0.7,0.75,0.7
jenkinsci_jira-plugin,20,0.35,0.4,0.3,0.4,0.3
jeremylong_DependencyCheck,20,0.5,0.65,0.35,0.65,0.35
jnidzwetzki_bboxdb,20,0.575,0.6,0.55,0.6,0.55
jonashackt_traefik-cache-nginx-spring-boot,2,0.25,0.5,0.0,0.5,0.0
jpmml_jpmml-evaluator,2,0.0,0.0,0.0,0.0,0.0
juglab_labkit-pixel-classification,2,0.0,0.0,0.0,0.0,0.0
junit-team_junit5,20,0.525,0.65,0.4,0.65,0.4
justdave_MCStatus,2,0.0,0.0,0.0,0.0,0.0
jwtk_jjwt,20,0.575,0.7,0.45,0.7,0.45
kaklakariada_portmapper,20,0.6,0.6,0.6,0.6,0.6
kingjon3377_strategicprimer-viewer,2,0.25,0.5,0.0,0.5,0.0
knowm_Yank,20,0.575,0.7,0.45,0.7,0.45
komamitsu_fluency,2,0.0,0.0,0.0,0.0,0.0
komoot_photon,20,0.625,0.7,0.55,0.7,0.55
kordamp_ikonli,20,0.625,0.65,0.6,0.65,0.6
kryptokrauts_aepp-sdk-java,20,0.6,0.65,0.55,0.65,0.55
lessthanoptimal_BoofCV,2,0.0,0.0,0.0,0.0,0.0
line_decaton,20,0.55,0.6,0.5,0.6,0.5
linkedin_avro-util,20,0.55,0.65,0.45,0.65,0.45
mamewotoko_podplayer,2,0.0,0.0,0.0,0.0,0.0
mate-academy_hibernate-configuration-hw,18,0.5556,0.6111,0.5,0.6111,0.5
mendhak_gpslogger,20,0.525,0.6,0.45,0.6,0.45
messaginghub_pooled-jms,2,0.0,0.0,0.0,0.0,0.0
michaelliao_itranswarp,20,0.65,0.65,0.65,0.65,0.65
micheljung_nocatch,20,0.55,0.6,0.5,0.6,0.5
miho_VTCC,20,0.625,0.65,0.6,0.65,0.6
miho_VWorkflows,2,0.0,0.0,0.0,0.0,0.0
minio_minio-java,20,0.6,0.65,0.55,0.65,0.55
mixpanel_mixpanel-android,2,0.0,0.0,0.0,0.0,0.0
msmobility_silo,20,0.425,0.45,0.4,0.45,0.4
neo4j-contrib_neo4j-jdbc,20,0.625,0.65,0.6,0.65,0.6
nhl_dflib,20,0.575,0.65,0.5,0.65,0.5
nkonev_blog,20,0.45,0.5,0.4,0.5,0.4
nsoft_jesterj,20,0.575,0.6,0.55,0.6,0.55
nutzam_nutzboot,2,0.0,0.0,0.0,0.0,0.0
open-keychain_open-keychain,2,0.0,0.0,0.0,0.0,0.0
opencadc_cadc-target-resolver,20,0.325,0.45,0.2,0.45,0.2
opencadc_vos,2,0.0,0.0,0.0,0.0,0.0
oracle_opengrok,2,0.0,0.0,0.0,0.0,0.0
orien_bean-matchers,20,0.725,0.75,0.7,0.75,0.7
otavanopisto_muikku,20,0.55,0.6,0.5,0.6,0.5
otto-de_synapse,20,0.325,0.4,0.25,0.4,0.25
parse-community_Parse-SDK-Android,20,0.525,0.6,0.45,0.6,0.45
phisix-org_phisix,2,0.25,0.5,0.0,0.5,0.0
playframework_play1,20,0.775,0.8,0.75,0.8,0.75
portingle_slf4jtesting,2,0.0,0.0,0.0,0.0,0.0
primefaces-extensions_primefaces-integration-tests,20,0.6,0.7,0.5,0.7,0.5
princesslana_smalld,20,0.575,0.6,0.55,0.6,0.55
proofpoint_platform,2,0.0,0.0,0.0,0.0,0.0
pulumi_pulumi-kubernetes,2,0.0,0.0,0.0,0.0,0.0
qlefevre_crud-admin-spring-boot-starter,20,0.6,0.65,0.55,0.65,0.55
qos-ch_slf4j,20,0.575,0.65,0.5,0.65,0.5
querydsl_querydsl,2,0.0,0.0,0.0,0.0,0.0
rabbitmq_hop,2,0.0,0.0,0.0,0.0,0.0
radixdlt_radixdlt,20,0.6,0.65,0.55,0.65,0.55
ralscha_wamp2spring,2,0.5,0.5,0.5,0.5,0.5
ralscha_xodus-queue,20,0.675,0.7,0.65,0.7,0.65
reaktivity_nukleus-http.java,20,0.5,0.55,0.45,0.55,0.45
reaktivity_nukleus-maven-plugin,20,0.65,0.7,0.6,0.7,0.6
reaktivity_nukleus-tcp.spec,20,0.65,0.7,0.6,0.7,0.6
redhat-developer_quarkus-ls,20,0.65,0.7,0.6,0.7,0.6
redisson_redisson,2,0.0,0.0,0.0,0.0,0.0
renyuneyun_Easer,20,0.575,0.7,0.45,0.7,0.45
riboseinc_aws-codecommit-trigger-plugin,2,0.0,0.0,0.0,0.0,0.0
ron190_jsql-injection,2,0.0,0.0,0.0,0.0,0.0
saucelabs_ci-sauce,20,0.6,0.6,0.6,0.6,0.6
sbt_junit-interface,2,0.0,0.0,0.0,0.0,0.0
scijava_scripting-groovy,2,0.0,0.0,0.0,0.0,0.0
selenide_selenide,20,0.625,0.7,0.55,0.7,0.55
silaev_mongodb-replica-set,2,0.0,0.0,0.0,0.0,0.0
sizovs_PipelinR,20,0.7,0.7,0.7,0.7,0.7
sniffy_sniffy,2,0.0,0.0,0.0,0.0,0.0
societe-generale_arch-unit-build-plugin-core,20,0.65,0.75,0.55,0.75,0.55
sockeqwe_AdapterDelegates,20,0.625,0.65,0.6,0.65,0.6
sofastack_sofa-bolt,20,0.625,0.65,0.6,0.65,0.6
sofastack_sofa-registry,20,0.65,0.65,0.65,0.65,0.65
spigotplugins_fakeplayer,20,0.625,0.65,0.6,0.65,0.6
splitio_android-client,20,0.675,0.7,0.65,0.7,0.65
spring-cloud_spring-cloud-zookeeper,20,0.575,0.6,0.55,0.6,0.55
