setting,direction,project,service,n_files,yaml_pass_rate,yaml_score_avg,external_score_avg,actionlint_pass_rate,travis_lint_pass_rate,messages_sample
CIMig,travis_to_gha,ANierbeck_Karaf-Vertx,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/ANierbeck_Karaf-Vertx/03_CIMig_T"
CIMig,gha_to_travis,ANierbeck_Karaf-Vertx,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/ANierbeck_Karaf-Vertx/04_CIMig_G"
CIMig,travis_to_gha,AreaFiftyLAN_lancie-api,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: while parsing a block mapping
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AreaFiftyLAN_lancie-api/03_CIMig_Travi"
CIMig,gha_to_travis,AreaFiftyLAN_lancie-api,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AreaFiftyLAN_lancie-api/04_CIMig"
CIMig,travis_to_gha,AtomGraph_Processor,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AtomGraph_Processor/03_CIMig_Tra"
CIMig,gha_to_travis,AtomGraph_Processor,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AtomGraph_Processor/04_CIMig_GHA"
Zero-Shot,travis_to_gha,AtomGraph_Processor,gha,4,0.75,0.75,0.5,0.5,,"[actionlint rc=1] actions.yml:11:7: ""services"" section is sequence node but mapping node is expected [syntax-check]
   |
11 |       - docker
   |       ^
actions.yml:12:9: expecting a single ${{...}}  | [actionlint rc=1] actions.yml:67:7: shellcheck reported issue in this script: SC1129:error:1:6: You need a space before the ! [shellcheck]
   |
67 |       run: |
   |       ^~~~
actions.yml:67:7: shel | [actionlint rc=0] "
Zero-Shot,gha_to_travis,AtomGraph_Processor,travis,4,0.5,0.5,0.5,,0.5,"YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrat | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [travis lint rc=0] valid"
Fine-Tuned,travis_to_gha,AtomGraph_Processor,gha,1,1.0,1.0,1.0,1.0,,[actionlint rc=0] 
Fine-Tuned,gha_to_travis,AtomGraph_Processor,travis,1,1.0,1.0,1.0,,1.0,[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_04/AtomGraph_Processor/04_CIgrate_GH
Few-Shot,travis_to_gha,AtomGraph_Processor,gha,4,0.5,0.5,0.0,0.0,,"YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/03_CIgrate | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [actionlint rc=1] actions.yml:38:5: unexpected key ""notifications"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", """
Few-Shot,gha_to_travis,AtomGraph_Processor,travis,4,0.5,0.5,0.5,,0.5,"YAML parse error: while parsing a block mapping
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgra | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [travis lint rc=0] valid"
CIMig,travis_to_gha,AuScope_NVCLAnalyticalServices,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AuScope_NVCLAnalyticalServices/0"
CIMig,gha_to_travis,AuScope_NVCLAnalyticalServices,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AuScope_NVCLAnalyticalServices/0"
Zero-Shot,travis_to_gha,AuScope_NVCLAnalyticalServices,gha,4,0.75,0.75,0.75,0.75,,[actionlint rc=0]  | [actionlint rc=0]  | [actionlint rc=0] 
Zero-Shot,gha_to_travis,AuScope_NVCLAnalyticalServices,travis,4,0.25,0.25,0.25,,0.25,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalytica | YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalService | [travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_"
Fine-Tuned,travis_to_gha,AuScope_NVCLAnalyticalServices,gha,1,1.0,1.0,1.0,1.0,,"[actionlint rc=1] actions.yml:21:9: shellcheck reported issue in this script: SC2086:info:3:65: Double quote to prevent globbing and word splitting [shellcheck]
   |
21 |         run: |
   |         ^"
Fine-Tuned,gha_to_travis,AuScope_NVCLAnalyticalServices,travis,1,1.0,1.0,1.0,,1.0,[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_05/AuScope_NVCLAnalyticalServices/04
Few-Shot,travis_to_gha,AuScope_NVCLAnalyticalServices,gha,4,0.75,0.75,0.75,0.75,,"[actionlint rc=0]  | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [actionlint rc=0] "
Few-Shot,gha_to_travis,AuScope_NVCLAnalyticalServices,travis,4,0.5,0.5,0.5,,0.5,"YAML parse error: while scanning a simple key
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AuScope_NVCLAnalyticalServices | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_T"
CIMig,travis_to_gha,AxonIQ_axonserver-connector-java,gha,1,0.0,0.0,0.0,0.0,,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AxonIQ_axonserver-connector-java"
CIMig,gha_to_travis,AxonIQ_axonserver-connector-java,travis,1,0.0,0.0,0.0,,0.0,"YAML parse error: mapping values are not allowed here
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AxonIQ_axonserver-connector-java"
Zero-Shot,travis_to_gha,AxonIQ_axonserver-connector-java,gha,4,0.75,0.75,0.5,0.5,,"[actionlint rc=0]  | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [actionlint rc=0] "
Zero-Shot,gha_to_travis,AxonIQ_axonserver-connector-java,travis,4,1.0,1.0,1.0,,1.0,[travis lint rc=0] valid | [travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AxonIQ_axonserver-connector-java/04_CIgrate_GHA_t | [travis lint rc=0] valid
Fine-Tuned,travis_to_gha,AxonIQ_axonserver-connector-java,gha,1,1.0,1.0,1.0,1.0,,[actionlint rc=0] 
Fine-Tuned,gha_to_travis,AxonIQ_axonserver-connector-java,travis,1,1.0,1.0,1.0,,1.0,[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_08/AxonIQ_axonserver-connector-java/
Few-Shot,travis_to_gha,AxonIQ_axonserver-connector-java,gha,4,0.5,0.5,0.25,0.25,,"[actionlint rc=1] actions.yml:9:7: ""services"" section is sequence node but mapping node is expected [syntax-check]
  |
9 |       - docker
  |       ^ | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [actionlint rc=0] "
Few-Shot,gha_to_travis,AxonIQ_axonserver-connector-java,travis,4,0.5,0.5,0.5,,0.5,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AxonIQ_axonserver-connector-java/04_CIgrate_GHA_to | YAML parse error: while scanning for the next token
found character '`' that cannot start any token
  in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/ | [travis lint rc=0] valid"
