prompt_mode,migration_direction,set_folder_name,fold_name,model_family,projects,avg_of_max_cosine,avg_of_max_crystal_bleu
cimig,gha_to_travis,,,cimig,251,0.35,0.14
cimig,travis_to_gha,,,cimig,251,0.49,0.19
few-shot,gha_to_travis,Set_Full,,gemma3_12b,153,0.49,0.36
few-shot,gha_to_travis,Set_Full,,gpt-4o,153,0.60,0.46
few-shot,gha_to_travis,Set_Full,,llama3_1_8b,153,0.26,0.19
few-shot,gha_to_travis,Set_Full,,mistral_7b,153,0.42,0.29
few-shot,travis_to_gha,Set_Full,,gemma3_12b,153,0.74,0.52
few-shot,travis_to_gha,Set_Full,,gpt-4o,153,0.79,0.59
few-shot,travis_to_gha,Set_Full,,llama3_1_8b,153,0.60,0.42
few-shot,travis_to_gha,Set_Full,,mistral_7b,153,0.71,0.45
fine-tuned,gha_to_travis,Set_90_10,Set_90_10_V_01,gemma3_12b,15,0.73,0.62
fine-tuned,gha_to_travis,Set_90_10,Set_90_10_V_02,gemma3_12b,15,0.72,0.63
fine-tuned,gha_to_travis,Set_90_10,Set_90_10_V_03,gemma3_12b,15,0.85,0.76
fine-tuned,gha_to_travis,Set_90_10,Set_90_10_V_04,gemma3_12b,15,0.79,0.66
fine-tuned,gha_to_travis,Set_90_10,Set_90_10_V_05,gemma3_12b,15,0.78,0.64
fine-tuned,gha_to_travis,Set_90_10,Set_90_10_V_06,gemma3_12b,15,0.80,0.68
fine-tuned,gha_to_travis,Set_90_10,Set_90_10_V_07,gemma3_12b,15,0.80,0.67
fine-tuned,gha_to_travis,Set_90_10,Set_90_10_V_08,gemma3_12b,15,0.75,0.68
fine-tuned,gha_to_travis,Set_90_10,Set_90_10_V_09,gemma3_12b,15,0.76,0.64
fine-tuned,gha_to_travis,Set_90_10,Set_90_10_V_10,gemma3_12b,15,0.63,0.54
fine-tuned,travis_to_gha,Set_90_10,Set_90_10_V_01,gemma3_12b,15,0.91,0.75
fine-tuned,travis_to_gha,Set_90_10,Set_90_10_V_02,gemma3_12b,15,0.90,0.68
fine-tuned,travis_to_gha,Set_90_10,Set_90_10_V_03,gemma3_12b,15,0.94,0.81
fine-tuned,travis_to_gha,Set_90_10,Set_90_10_V_04,gemma3_12b,15,0.92,0.71
fine-tuned,travis_to_gha,Set_90_10,Set_90_10_V_05,gemma3_12b,15,0.86,0.70
fine-tuned,travis_to_gha,Set_90_10,Set_90_10_V_06,gemma3_12b,15,0.88,0.72
fine-tuned,travis_to_gha,Set_90_10,Set_90_10_V_07,gemma3_12b,15,0.88,0.78
fine-tuned,travis_to_gha,Set_90_10,Set_90_10_V_08,gemma3_12b,15,0.90,0.75
fine-tuned,travis_to_gha,Set_90_10,Set_90_10_V_09,gemma3_12b,15,0.89,0.75
fine-tuned,travis_to_gha,Set_90_10,Set_90_10_V_10,gemma3_12b,15,0.88,0.78
zero-shot,gha_to_travis,Set_Full,,gemma3_12b,153,0.36,0.26
zero-shot,gha_to_travis,Set_Full,,gpt-4o,153,0.54,0.39
zero-shot,gha_to_travis,Set_Full,,llama3_1_8b,153,0.27,0.16
zero-shot,gha_to_travis,Set_Full,,mistral_7b,153,0.31,0.16
zero-shot,travis_to_gha,Set_Full,,gemma3_12b,153,0.66,0.44
zero-shot,travis_to_gha,Set_Full,,gpt-4o,153,0.74,0.54
zero-shot,travis_to_gha,Set_Full,,llama3_1_8b,153,0.59,0.29
zero-shot,travis_to_gha,Set_Full,,mistral_7b,153,0.64,0.33
