project_name,migration_direction,set_folder_name,fold_name,model_name,prompt_mode,gemma_max_cos,gemma_max_bleu,llama_max_cos,llama_max_bleu,mistral_max_cos,mistral_max_bleu,gpt-4_max_cos,gpt-4_max_bleu,cimig_max_cos,cimig_max_bleu,best_model_by_bleu,best_bleu,best_model_by_cos,best_cos
AtomGraph_Processor,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.12,0.01,cimig,0.01,cimig,0.12
AtomGraph_Processor,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.12,0.01,cimig,0.01,cimig,0.12
AtomGraph_Processor,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.12,0.01,cimig,0.01,cimig,0.12
AtomGraph_Processor,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.12,0.01,cimig,0.01,cimig,0.12
AtomGraph_Processor,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.13,0.00,cimig,0.00,cimig,0.13
AtomGraph_Processor,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.13,0.00,cimig,0.00,cimig,0.13
AtomGraph_Processor,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.13,0.00,cimig,0.00,cimig,0.13
AtomGraph_Processor,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.13,0.00,cimig,0.00,cimig,0.13
AuScope_NVCLAnalyticalServices,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.24,0.07,cimig,0.07,cimig,0.24
AuScope_NVCLAnalyticalServices,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.24,0.07,cimig,0.07,cimig,0.24
AuScope_NVCLAnalyticalServices,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.24,0.07,cimig,0.07,cimig,0.24
AuScope_NVCLAnalyticalServices,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.24,0.07,cimig,0.07,cimig,0.24
AuScope_NVCLAnalyticalServices,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.52,0.11,cimig,0.11,cimig,0.52
AuScope_NVCLAnalyticalServices,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.52,0.11,cimig,0.11,cimig,0.52
AuScope_NVCLAnalyticalServices,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.52,0.11,cimig,0.11,cimig,0.52
AuScope_NVCLAnalyticalServices,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.52,0.11,cimig,0.11,cimig,0.52
AxonIQ_axonserver-connector-java,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.56,0.28,cimig,0.28,cimig,0.56
AxonIQ_axonserver-connector-java,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.56,0.28,cimig,0.28,cimig,0.56
AxonIQ_axonserver-connector-java,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.56,0.28,cimig,0.28,cimig,0.56
AxonIQ_axonserver-connector-java,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.56,0.28,cimig,0.28,cimig,0.56
AxonIQ_axonserver-connector-java,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.48,0.03,cimig,0.03,cimig,0.48
AxonIQ_axonserver-connector-java,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.48,0.03,cimig,0.03,cimig,0.48
AxonIQ_axonserver-connector-java,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.48,0.03,cimig,0.03,cimig,0.48
AxonIQ_axonserver-connector-java,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.48,0.03,cimig,0.03,cimig,0.48
BombusMod_BombusMod,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.16,0.07,cimig,0.07,cimig,0.16
BombusMod_BombusMod,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.16,0.07,cimig,0.07,cimig,0.16
BombusMod_BombusMod,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.16,0.07,cimig,0.07,cimig,0.16
BombusMod_BombusMod,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.16,0.07,cimig,0.07,cimig,0.16
BombusMod_BombusMod,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.30,0.21,cimig,0.21,cimig,0.30
BombusMod_BombusMod,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.30,0.21,cimig,0.21,cimig,0.30
BombusMod_BombusMod,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.30,0.21,cimig,0.21,cimig,0.30
BombusMod_BombusMod,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.30,0.21,cimig,0.21,cimig,0.30
CST-Group_cst,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.21,0.05,cimig,0.05,cimig,0.21
CST-Group_cst,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.21,0.05,cimig,0.05,cimig,0.21
CST-Group_cst,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.21,0.05,cimig,0.05,cimig,0.21
CST-Group_cst,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.21,0.05,cimig,0.05,cimig,0.21
CST-Group_cst,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.57,0.02,cimig,0.02,cimig,0.57
CST-Group_cst,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.57,0.02,cimig,0.02,cimig,0.57
CST-Group_cst,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.57,0.02,cimig,0.02,cimig,0.57
CST-Group_cst,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.57,0.02,cimig,0.02,cimig,0.57
CodelyTV_java-basic-skeleton,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.43,0.12,cimig,0.12,cimig,0.43
CodelyTV_java-basic-skeleton,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.43,0.12,cimig,0.12,cimig,0.43
CodelyTV_java-basic-skeleton,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.43,0.12,cimig,0.12,cimig,0.43
CodelyTV_java-basic-skeleton,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.43,0.12,cimig,0.12,cimig,0.43
CodelyTV_java-basic-skeleton,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.49,0.32,cimig,0.32,cimig,0.49
CodelyTV_java-basic-skeleton,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.49,0.32,cimig,0.32,cimig,0.49
CodelyTV_java-basic-skeleton,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.49,0.32,cimig,0.32,cimig,0.49
CodelyTV_java-basic-skeleton,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.49,0.32,cimig,0.32,cimig,0.49
ConsensusJ_consensusj,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.25,0.10,cimig,0.10,cimig,0.25
ConsensusJ_consensusj,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.25,0.10,cimig,0.10,cimig,0.25
ConsensusJ_consensusj,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.25,0.10,cimig,0.10,cimig,0.25
ConsensusJ_consensusj,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.25,0.10,cimig,0.10,cimig,0.25
ConsensusJ_consensusj,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.63,0.09,cimig,0.09,cimig,0.63
ConsensusJ_consensusj,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.63,0.09,cimig,0.09,cimig,0.63
ConsensusJ_consensusj,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.63,0.09,cimig,0.09,cimig,0.63
ConsensusJ_consensusj,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.63,0.09,cimig,0.09,cimig,0.63
Coolerfall_Android-HttpDownloadManager,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.40,0.17,cimig,0.17,cimig,0.40
Coolerfall_Android-HttpDownloadManager,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.40,0.17,cimig,0.17,cimig,0.40
Coolerfall_Android-HttpDownloadManager,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.40,0.17,cimig,0.17,cimig,0.40
Coolerfall_Android-HttpDownloadManager,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.40,0.17,cimig,0.17,cimig,0.40
Coolerfall_Android-HttpDownloadManager,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.47,0.38,cimig,0.38,cimig,0.47
Coolerfall_Android-HttpDownloadManager,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.47,0.38,cimig,0.38,cimig,0.47
Coolerfall_Android-HttpDownloadManager,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.47,0.38,cimig,0.38,cimig,0.47
Coolerfall_Android-HttpDownloadManager,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.47,0.38,cimig,0.38,cimig,0.47
FasterXML_jackson-jr,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.28,0.07,cimig,0.07,cimig,0.28
FasterXML_jackson-jr,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.28,0.07,cimig,0.07,cimig,0.28
FasterXML_jackson-jr,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.28,0.07,cimig,0.07,cimig,0.28
FasterXML_jackson-jr,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.28,0.07,cimig,0.07,cimig,0.28
FasterXML_jackson-jr,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.57,0.12,cimig,0.12,cimig,0.57
FasterXML_jackson-jr,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.57,0.12,cimig,0.12,cimig,0.57
FasterXML_jackson-jr,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.57,0.12,cimig,0.12,cimig,0.57
FasterXML_jackson-jr,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.57,0.12,cimig,0.12,cimig,0.57
Gepardec_Hogarama,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.41,0.12,cimig,0.12,cimig,0.41
Gepardec_Hogarama,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.41,0.12,cimig,0.12,cimig,0.41
Gepardec_Hogarama,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.41,0.12,cimig,0.12,cimig,0.41
Gepardec_Hogarama,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.41,0.12,cimig,0.12,cimig,0.41
Gepardec_Hogarama,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.44,0.05,cimig,0.05,cimig,0.44
Gepardec_Hogarama,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.44,0.05,cimig,0.05,cimig,0.44
Gepardec_Hogarama,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.44,0.05,cimig,0.05,cimig,0.44
Gepardec_Hogarama,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.44,0.05,cimig,0.05,cimig,0.44
GrowthcraftCE_Growthcraft-1.12,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.42,0.09,cimig,0.09,cimig,0.42
GrowthcraftCE_Growthcraft-1.12,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.42,0.09,cimig,0.09,cimig,0.42
GrowthcraftCE_Growthcraft-1.12,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.42,0.09,cimig,0.09,cimig,0.42
GrowthcraftCE_Growthcraft-1.12,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.42,0.09,cimig,0.09,cimig,0.42
GrowthcraftCE_Growthcraft-1.12,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.46,0.09,cimig,0.09,cimig,0.46
GrowthcraftCE_Growthcraft-1.12,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.46,0.09,cimig,0.09,cimig,0.46
GrowthcraftCE_Growthcraft-1.12,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.46,0.09,cimig,0.09,cimig,0.46
GrowthcraftCE_Growthcraft-1.12,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.46,0.09,cimig,0.09,cimig,0.46
Hakky54_mutual-tls-ssl,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.34,0.19,cimig,0.19,cimig,0.34
Hakky54_mutual-tls-ssl,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.34,0.19,cimig,0.19,cimig,0.34
Hakky54_mutual-tls-ssl,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.34,0.19,cimig,0.19,cimig,0.34
Hakky54_mutual-tls-ssl,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.34,0.19,cimig,0.19,cimig,0.34
Hakky54_mutual-tls-ssl,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.47,0.02,cimig,0.02,cimig,0.47
Hakky54_mutual-tls-ssl,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.47,0.02,cimig,0.02,cimig,0.47
Hakky54_mutual-tls-ssl,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.47,0.02,cimig,0.02,cimig,0.47
Hakky54_mutual-tls-ssl,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.47,0.02,cimig,0.02,cimig,0.47
JetBrains_jediterm,gha_to_travis,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.35,0.09,cimig,0.09,cimig,0.35
JetBrains_jediterm,gha_to_travis,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.35,0.09,cimig,0.09,cimig,0.35
JetBrains_jediterm,gha_to_travis,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.35,0.09,cimig,0.09,cimig,0.35
JetBrains_jediterm,gha_to_travis,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.35,0.09,cimig,0.09,cimig,0.35
JetBrains_jediterm,travis_to_gha,Set_Full,,gemma3_12b,zero-shot,,,,,,,,,0.50,0.34,cimig,0.34,cimig,0.50
JetBrains_jediterm,travis_to_gha,Set_Full,,gpt-4o,zero-shot,,,,,,,,,0.50,0.34,cimig,0.34,cimig,0.50
JetBrains_jediterm,travis_to_gha,Set_Full,,llama3_1_8b,zero-shot,,,,,,,,,0.50,0.34,cimig,0.34,cimig,0.50
JetBrains_jediterm,travis_to_gha,Set_Full,,mistral_7b,zero-shot,,,,,,,,,0.50,0.34,cimig,0.34,cimig,0.50
