SL,project_name,migration_direction,prompt_mode,model_name,cosine_similarity,crystal_bleu
1,spring-labs_org.openwms.services,travis_to_gha,zero-shot,gemma3_12b,0.707009,0.330137
2,spring-labs_org.openwms.services,travis_to_gha,zero-shot,llama3_1_8b,0.662186,0.24692
3,spring-labs_org.openwms.services,travis_to_gha,zero-shot,gpt-4o,0.709946,0.357326
4,spring-labs_org.openwms.services,travis_to_gha,zero-shot,mistral_7b,0.702687,0.350862
5,spring-labs_org.openwms.services,gha_to_travis,zero-shot,gemma3_12b,0.279954,0.324067
6,spring-labs_org.openwms.services,gha_to_travis,zero-shot,llama3_1_8b,0.354144,0.369671
7,spring-labs_org.openwms.services,gha_to_travis,zero-shot,gpt-4o,0.362329,0.354233
8,spring-labs_org.openwms.services,gha_to_travis,zero-shot,mistral_7b,0.367058,0.298718
9,michaelliao_itranswarp,travis_to_gha,zero-shot,gemma3_12b,0.712612,0.271757
10,michaelliao_itranswarp,travis_to_gha,zero-shot,llama3_1_8b,0.57853,0.262518
11,michaelliao_itranswarp,travis_to_gha,zero-shot,gpt-4o,0.665565,0.360163
12,michaelliao_itranswarp,travis_to_gha,zero-shot,mistral_7b,0.510234,0.346263
13,michaelliao_itranswarp,gha_to_travis,zero-shot,gemma3_12b,0.48901,0.134231
14,michaelliao_itranswarp,gha_to_travis,zero-shot,llama3_1_8b,0.398862,0.109599
15,michaelliao_itranswarp,gha_to_travis,zero-shot,gpt-4o,0.559893,0.206897
16,michaelliao_itranswarp,gha_to_travis,zero-shot,mistral_7b,0.492366,0.109399
17,gessnerfl_rabbitmq-queue-management,travis_to_gha,zero-shot,gemma3_12b,0.584745,0.262202
18,gessnerfl_rabbitmq-queue-management,travis_to_gha,zero-shot,llama3_1_8b,0.677555,0.172782
19,gessnerfl_rabbitmq-queue-management,travis_to_gha,zero-shot,gpt-4o,0.687256,0.342242
20,gessnerfl_rabbitmq-queue-management,travis_to_gha,zero-shot,mistral_7b,0.598506,0.177603
21,gessnerfl_rabbitmq-queue-management,gha_to_travis,zero-shot,gemma3_12b,0.267182,0.051055
22,gessnerfl_rabbitmq-queue-management,gha_to_travis,zero-shot,llama3_1_8b,0.293198,0.052617
23,gessnerfl_rabbitmq-queue-management,gha_to_travis,zero-shot,gpt-4o,0.383571,0.133235
24,gessnerfl_rabbitmq-queue-management,gha_to_travis,zero-shot,mistral_7b,0.344378,0.071611
25,fiji_Cell_Counter,travis_to_gha,zero-shot,gemma3_12b,0.63699,0.388665
26,fiji_Cell_Counter,travis_to_gha,zero-shot,llama3_1_8b,0.613167,0.380785
27,fiji_Cell_Counter,travis_to_gha,zero-shot,gpt-4o,0.752024,0.373149
28,fiji_Cell_Counter,travis_to_gha,zero-shot,mistral_7b,0.674533,0.246737
29,fiji_Cell_Counter,gha_to_travis,zero-shot,gemma3_12b,0.249742,0.086165
30,fiji_Cell_Counter,gha_to_travis,zero-shot,llama3_1_8b,0.298142,0.098273
31,fiji_Cell_Counter,gha_to_travis,zero-shot,gpt-4o,0.372678,0.21166
32,fiji_Cell_Counter,gha_to_travis,zero-shot,mistral_7b,0.099381,0.057639
33,eclipse_lemminx,travis_to_gha,zero-shot,gemma3_12b,0.533013,0.250244
34,eclipse_lemminx,travis_to_gha,zero-shot,llama3_1_8b,0.54653,0.209372
35,eclipse_lemminx,travis_to_gha,zero-shot,gpt-4o,0.569754,0.350449
36,eclipse_lemminx,travis_to_gha,zero-shot,mistral_7b,0.454398,0.236067
37,eclipse_lemminx,gha_to_travis,zero-shot,gemma3_12b,0.088302,0.024077
38,eclipse_lemminx,gha_to_travis,zero-shot,llama3_1_8b,0.121666,0.073324
39,eclipse_lemminx,gha_to_travis,zero-shot,gpt-4o,0.186081,0.083771
40,eclipse_lemminx,gha_to_travis,zero-shot,mistral_7b,0.193329,0.07719
41,sniffy_sniffy,travis_to_gha,zero-shot,gemma3_12b,0.615075,0.322318
42,sniffy_sniffy,travis_to_gha,zero-shot,llama3_1_8b,0.501113,0.171246
43,sniffy_sniffy,travis_to_gha,zero-shot,gpt-4o,0.585134,0.300447
44,sniffy_sniffy,travis_to_gha,zero-shot,mistral_7b,0.513182,0.156022
45,sniffy_sniffy,gha_to_travis,zero-shot,gemma3_12b,0.390199,0.230471
46,sniffy_sniffy,gha_to_travis,zero-shot,llama3_1_8b,0.341882,0.229081
47,sniffy_sniffy,gha_to_travis,zero-shot,gpt-4o,0.356512,0.169842
48,sniffy_sniffy,gha_to_travis,zero-shot,mistral_7b,0.267261,0.037053
49,apache_commons-lang,travis_to_gha,zero-shot,gemma3_12b,0.561011,0.126539
50,apache_commons-lang,travis_to_gha,zero-shot,llama3_1_8b,0.563602,0.145557
51,apache_commons-lang,travis_to_gha,zero-shot,gpt-4o,0.594763,0.137807
52,apache_commons-lang,travis_to_gha,zero-shot,mistral_7b,0.612416,0.210087
53,apache_commons-lang,gha_to_travis,zero-shot,gemma3_12b,0.257425,0.174721
54,apache_commons-lang,gha_to_travis,zero-shot,llama3_1_8b,0.246932,0.165273
55,apache_commons-lang,gha_to_travis,zero-shot,gpt-4o,0.476992,0.205505
56,apache_commons-lang,gha_to_travis,zero-shot,mistral_7b,0.235973,0.123307
57,proofpoint_platform,travis_to_gha,zero-shot,gemma3_12b,0.639173,0.326255
58,proofpoint_platform,travis_to_gha,zero-shot,llama3_1_8b,0.654214,0.324772
59,proofpoint_platform,travis_to_gha,zero-shot,gpt-4o,0.67519,0.359368
60,proofpoint_platform,travis_to_gha,zero-shot,mistral_7b,0.764835,0.359527
61,proofpoint_platform,gha_to_travis,zero-shot,gemma3_12b,0.291979,0.048774
62,proofpoint_platform,gha_to_travis,zero-shot,llama3_1_8b,0.464642,0.258199
63,proofpoint_platform,gha_to_travis,zero-shot,gpt-4o,0.401286,0.119452
64,proofpoint_platform,gha_to_travis,zero-shot,mistral_7b,0.456832,0.209056
65,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,gemma3_12b,0.784548,0.480356
66,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,llama3_1_8b,0.757367,0.33176
67,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,gpt-4o,0.747326,0.551518
68,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,mistral_7b,0.641064,0.317116
69,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,gemma3_12b,0.482198,0.395235
70,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,llama3_1_8b,0.495074,0.48198
71,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,gpt-4o,0.679366,0.648679
72,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,mistral_7b,0.346688,0.164378
73,sockeqwe_AdapterDelegates,travis_to_gha,zero-shot,gemma3_12b,0.516233,0.141328
